Year,Month,Hotel_ID,Actual_Housekeeping,Actual_Kitchen,Actual_Waiters,AI_Housekeeping,AI_Kitchen,AI_Waiters,Actual_Total,AI_Total,Saved_Shifts,Saved_Hours
2019,1,DJ,1566,1814,1202,1114,910,1127,4582,3151,1431,10017
2019,1,DT,1060,1658,22,790,929,566,2740,2285,455,3185
2019,2,DJ,1408,1587,1056,1237,1010,1242,4051,3489,562,3934
2019,2,DT,947,1479,20,758,883,551,2446,2192,254,1778
2019,3,DJ,1639,1796,1264,1590,1295,1621,4699,4506,193,1351
2019,3,DT,1099,1600,21,881,1022,644,2720,2547,173,1211
2019,4,DJ,1619,1817,1188,1382,1132,1401,4624,3915,709,4963
2019,4,DT,1030,1574,16,961,1118,694,2620,2773,0,0
2019,5,DJ,1685,1827,1239,1520,1243,1533,4751,4296,455,3185
2019,5,DT,1126,1739,21,1096,1280,806,2886,3182,0,0
2019,6,DJ,1543,1771,1158,1234,1005,1253,4472,3492,980,6860
2019,6,DT,1054,1689,18,1077,1248,784,2761,3109,0,0
2019,7,DJ,1435,1666,966,878,715,918,4067,2511,1556,10892
2019,7,DT,1096,1680,23,1133,1333,816,2799,3282,0,0
2019,8,DJ,1541,1726,1228,875,712,917,4495,2504,1991,13937
2019,8,DT,1169,1703,7,1015,1186,753,2879,2954,0,0
2019,9,DJ,1523,1689,1274,1407,1148,1396,4486,3951,535,3745
2019,9,DT,955,1591,12,1015,1178,732,2558,2925,0,0
2019,10,DJ,1659,1899,1244,1337,1091,1343,4802,3771,1031,7217
2019,10,DT,1063,1789,16,908,1059,650,2868,2617,251,1757
2019,11,DJ,1676,1759,1199,1673,1361,1720,4634,4754,0,0
2019,11,DT,1016,1605,21,937,1086,691,2642,2714,0,0
2019,12,DJ,1461,1834,1119,1122,922,1142,4414,3186,1228,8596
2019,12,DT,973,1581,21,743,857,538,2575,2138,437,3059
2020,1,DJ,1195,1539,674,1216,994,1252,3408,3462,0,0
2020,1,DT,829,1133,411,663,778,490,2373,1931,442,3094
2020,2,DJ,1179,1331,644,1343,1092,1369,3154,3804,0,0
2020,2,DT,833,1000,416,611,713,447,2249,1771,478,3346
2020,3,DJ,525,669,151,752,609,731,1345,2092,0,0
2020,3,DT,482,568,280,372,370,240,1330,982,348,2436
2020,4,DJ,374,530,88,407,326,394,992,1127,0,0
2020,4,DT,99,197,114,300,150,90,410,540,0,0
2020,5,DJ,464,629,90,936,761,942,1183,2639,0,0
2020,5,DT,114,180,108,310,155,97,402,562,0,0
2020,6,DJ,473,584,85,957,783,947,1142,2687,0,0
2020,6,DT,242,292,122,312,215,150,656,677,0,0
2020,7,DJ,503,647,93,1063,862,1064,1243,2989,0,0
2020,7,DT,338,423,172,317,281,194,933,792,141,987
2020,8,DJ,519,588,78,886,725,880,1185,2491,0,0
2020,8,DT,408,728,217,426,475,313,1353,1214,139,973
2020,9,DJ,492,549,68,716,576,706,1109,1998,0,0
2020,9,DT,283,413,125,330,284,186,821,800,21,147
2020,10,DJ,499,536,92,815,662,832,1127,2309,0,0
2020,10,DT,122,132,35,310,186,123,289,619,0,0
2020,11,DJ,408,475,96,255,177,211,979,643,336,2352
2020,11,DT,140,142,29,300,207,132,311,639,0,0
2020,12,DJ,437,499,72,548,424,492,1008,1464,0,0
2020,12,DT,141,158,18,310,202,129,317,641,0,0
2021,1,DJ,554,242,380,1111,906,1132,1176,3149,0,0
2021,1,DT,83,135,23,310,212,137,241,659,0,0
2021,2,DJ,436,219,349,396,322,388,1004,1106,0,0
2021,2,DT,0,0,0,280,158,103,0,541,0,0
2021,3,DJ,539,346,466,257,160,159,1351,576,775,5425
2021,3,DT,73,112,19,310,177,117,204,604,0,0
2021,4,DJ,387,140,207,240,121,98,734,459,275,1925
2021,4,DT,272,560,87,311,240,162,919,713,206,1442
2021,5,DJ,514,132,256,294,204,221,902,719,183,1281
2021,5,DT,349,466,84,332,282,179,899,793,106,742
2021,6,DJ,707,370,606,384,281,346,1683,1011,672,4704
2021,6,DT,531,826,90,437,504,321,1447,1262,185,1295
2021,7,DJ,846,515,802,478,374,454,2163,1306,857,5999
2021,7,DT,551,1030,122,460,535,343,1703,1338,365,2555
2021,8,DJ,782,469,665,517,414,491,1916,1422,494,3458
2021,8,DT,540,879,116,422,485,308,1535,1215,320,2240
2021,9,DJ,622,388,562,410,296,341,1572,1047,525,3675
2021,9,DT,449,668,108,391,460,285,1225,1136,89,623
2021,10,DJ,865,402,622,422,305,399,1889,1126,763,5341
2021,10,DT,612,1031,149,566,653,414,1792,1633,159,1113
2021,11,DJ,827,447,713,570,458,555,1987,1583,404,2828
2021,11,DT,634,897,133,465,540,338,1664,1343,321,2247
2021,12,DJ,729,397,598,506,384,493,1724,1383,341,2387
2021,12,DT,544,847,147,397,420,285,1538,1102,436,3052
2022,1,DJ,882,509,828,352,238,326,2219,916,1303,9121
2022,1,DT,560,588,421,313,277,182,1569,772,797,5579
2022,2,DJ,951,508,874,532,423,533,2333,1488,845,5915
2022,2,DT,583,764,432,400,442,291,1779,1133,646,4522
2022,3,DJ,1244,687,1080,796,652,785,3011,2233,778,5446
2022,3,DT,917,1170,554,801,943,581,2641,2325,316,2212
2022,4,DJ,1109,708,1068,702,569,770,2885,2041,844,5908
2022,4,DT,831,1334,905,840,974,619,3070,2433,637,4459
